Census Year	Population	Percent Change
1790	16400	
1800	19735	0.20
1810	21113	0.07
1820	23936	0.13
1830	26780	0.12
1840	32469	0.21
1850	36922	0.14
1860	43275	0.17
1870	46924	0.08
1880	52888	0.13
1890	62491	0.18
1900	77582	0.24
1910	96138	0.24
1920	110246	0.15
1930	161055	0.46
1940	197355	0.23
1950	276129	0.40
1960	666784	1.42
1970	1124950	0.69
1980	1284231	0.14
1990	1321864	0.03
2000	1419369	0.07
2010	1493350	0.05
2020	1525920	0.02
2025	1546090	0.01
